Albany,2019,6195,2274,3921
Allegany,2019,751,209,542
Bronx,2019,40450,14954,25496
Broome,2019,4795,1420,3375
Cattaraugus,2019,1520,454,1066
Cayuga,2019,1241,411,830
Chautauqua,2019,3589,1080,2509
Chemung,2019,2038,524,1514
Chenango,2019,787,250,537
Clinton,2019,1705,458,1247
Columbia,2019,1258,340,918
Cortland,2019,1074,300,774
Delaware,2019,752,196,556
Dutchess,2019,4270,1200,3070
Erie,2019,19179,6356,12823
Essex,2019,646,160,486
Franklin,2019,926,321,605
Fulton,2019,1017,290,727
Genesee,2019,1208,377,831
Greene,2019,1202,333,869
Hamilton,2019,51,8,43
Herkimer,2019,957,273,684
Jefferson,2019,1868,527,1341
Kings,2019,46515,22134,24381
Lewis,2019,358,124,234
Livingston,2019,1014,391,623
Madison,2019,1095,305,790
Monroe,2019,12589,4234,8355
Montgomery,2019,1123,377,746
Nassau,2019,15294,4605,10689
New York,2019,42783,15333,27450
Niagara,2019,4531,1427,3104
Oneida,2019,4536,1097,3439
Onondaga,2019,9519,3198,6321
Ontario,2019,2064,726,1338
Orange,2019,7819,2178,5641
Orleans,2019,747,262,485
Oswego,2019,2483,617,1866
Otsego,2019,1022,277,745
Putnam,2019,1188,254,934
Queens,2019,35356,14421,20935
Rensselaer,2019,3243,1113,2130
Richmond,2019,7408,3077,4331
Rockland,2019,3079,928,2151
Saratoga,2019,3270,902,2368
Schenectady,2019,3402,1198,2204
Schoharie,2019,320,87,233
Schuyler,2019,263,77,186
Seneca,2019,628,238,390
Steuben,2019,1924,700,1224
St. Lawrence,2019,1820,610,1210
Suffolk,2019,18739,4487,14252
Sullivan,2019,1854,573,1281
Tioga,2019,605,183,422
Tompkins,2019,1109,268,841
Ulster,2019,3413,967,2446
Unknown-NonNYS,2019,79,63,16
Warren,2019,1373,356,1017
Washington,2019,1089,327,762
Wayne,2019,1238,376,862
Westchester,2019,12979,4196,8783
Wyoming,2019,713,240,473
Yates,2019,270,66,204
Albany,2018,6861,2460,4401
Allegany,2018,797,245,552
Bronx,2018,45491,15006,30485
Broome,2018,4915,1373,3542
Cattaraugus,2018,1650,549,1101
Cayuga,2018,1248,349,899
Chautauqua,2018,3377,1003,2374
Chemung,2018,1957,531,1426
Chenango,2018,853,255,598
Clinton,2018,1834,635,1199
Columbia,2018,1327,341,986
Cortland,2018,1209,347,862
Delaware,2018,850,249,601
Dutchess,2018,4375,1292,3083
Erie,2018,20195,6705,13490
Essex,2018,677,191,486
Franklin,2018,1133,403,730
Fulton,2018,1181,366,815
Genesee,2018,1211,371,840
Greene,2018,1404,420,984
Hamilton,2018,53,18,35
Herkimer,2018,1014,237,777
Jefferson,2018,2138,600,1538
Kings,2018,54235,23194,31041
Lewis,2018,332,96,236
Livingston,2018,1118,348,770
Madison,2018,1267,370,897
Monroe,2018,13577,4378,9199
Montgomery,2018,1105,325,780
Nassau,2018,16991,4689,12302
New York,2018,50168,17123,33045
Niagara,2018,4448,1420,3028
Oneida,2018,4921,1201,3720
Onondaga,2018,10396,3362,7034
Ontario,2018,1878,610,1268
Orange,2018,8736,2483,6253
Orleans,2018,784,254,530
Oswego,2018,2775,725,2050
Otsego,2018,1052,297,755
Putnam,2018,1265,301,964
Queens,2018,39107,15402,23705
Rensselaer,2018,3154,1115,2039
Richmond,2018,8357,3069,5288
Rockland,2018,3325,981,2344
Saratoga,2018,3915,1041,2874
Schenectady,2018,3787,1281,2506
Schoharie,2018,395,99,296
Schuyler,2018,309,97,212
Seneca,2018,667,221,446
Steuben,2018,1995,733,1262
St. Lawrence,2018,2112,642,1470
Suffolk,2018,20000,4823,15177
Sullivan,2018,1930,599,1331
Tioga,2018,683,206,477
Tompkins,2018,1200,309,891
Ulster,2018,3965,1102,2863
Unknown-NonNYS,2018,82,62,20
Warren,2018,1756,454,1302
Washington,2018,1240,388,852
Wayne,2018,1479,399,1080
Westchester,2018,12770,3841,8929
Wyoming,2018,793,285,508
Yates,2018,313,101,212
Albany,2017,7563,2712,4851
Allegany,2017,771,208,563
Bronx,2017,51311,16247,35064
Broome,2017,5339,1403,3936
Cattaraugus,2017,1615,487,1128
Cayuga,2017,1194,385,809
Chautauqua,2017,3431,1025,2406
Chemung,2017,1879,490,1389
Chenango,2017,754,236,518
Clinton,2017,1864,632,1232
Columbia,2017,1175,294,881
Cortland,2017,1311,371,940
Delaware,2017,892,262,630
Dutchess,2017,5055,1478,3577
Erie,2017,19874,6210,13664
Essex,2017,664,192,472
Franklin,2017,1199,398,801
Fulton,2017,1058,382,676
Genesee,2017,1181,402,779
Greene,2017,1369,363,1006
Hamilton,2017,50,20,30
Herkimer,2017,1081,284,797
Jefferson,2017,2265,653,1612
Kings,2017,62471,23710,38761
Lewis,2017,335,130,205
Livingston,2017,1240,340,900
Madison,2017,1099,270,829
Monroe,2017,14399,4625,9774
Montgomery,2017,1133,339,794
Nassau,2017,16960,5235,11725
New York,2017,61321,17031,44290
Niagara,2017,4920,1480,3440
Oneida,2017,5285,1382,3903
Onondaga,2017,10268,3340,6928
Ontario,2017,1814,563,1251
Orange,2017,9165,2389,6776
Orleans,2017,924,296,628
Oswego,2017,2448,710,1738
Otsego,2017,1024,286,738
Putnam,2017,1397,327,1070
Queens,2017,42740,15449,27291
Rensselaer,2017,3278,1091,2187
Richmond,2017,8956,3222,5734
Rockland,2017,3469,984,2485
Saratoga,2017,4060,1075,2985
Schenectady,2017,3692,1271,2421
Schoharie,2017,448,110,338
Schuyler,2017,272,88,184
Seneca,2017,738,231,507
Steuben,2017,1833,644,1189
St. Lawrence,2017,2168,693,1475
Suffolk,2017,20534,5010,15524
Sullivan,2017,1921,520,1401
Tioga,2017,729,221,508
Tompkins,2017,1274,297,977
Ulster,2017,4256,1105,3151
Unknown-NonNYS,2017,95,75,20
Warren,2017,1754,487,1267
Washington,2017,1204,364,840
Wayne,2017,1567,477,1090
Westchester,2017,12678,3740,8938
Wyoming,2017,773,259,514
Yates,2017,293,87,206
Albany,2016,7681,2830,4851
Allegany,2016,930,296,634
Bronx,2016,56288,17087,39201
Broome,2016,5209,1607,3602
Cattaraugus,2016,1507,436,1071
Cayuga,2016,1293,405,888
Chautauqua,2016,3269,907,2362
Chemung,2016,1987,453,1534
Chenango,2016,805,235,570
Clinton,2016,1891,503,1388
Columbia,2016,1048,273,775
Cortland,2016,1301,412,889
Delaware,2016,943,336,607
Dutchess,2016,4887,1477,3410
Erie,2016,21331,6452,14879
Essex,2016,694,204,490
Franklin,2016,1167,356,811
Fulton,2016,1050,344,706
Genesee,2016,1250,423,827
Greene,2016,1235,321,914
Hamilton,2016,64,12,52
Herkimer,2016,1055,231,824
Jefferson,2016,2398,612,1786
Kings,2016,66978,25032,41946
Lewis,2016,392,131,261
Livingston,2016,1290,387,903
Madison,2016,1158,310,848
Monroe,2016,14118,4396,9722
Montgomery,2016,1161,314,847
Nassau,2016,16985,5325,11660
New York,2016,68488,18655,49833
Niagara,2016,5031,1443,3588
Oneida,2016,5197,1246,3951
Onondaga,2016,10478,3491,6987
Ontario,2016,1832,566,1266
Orange,2016,8786,2287,6499
Orleans,2016,801,250,551
Oswego,2016,2655,757,1898
Otsego,2016,1104,333,771
Putnam,2016,1370,308,1062
Queens,2016,47698,17432,30266
Rensselaer,2016,3290,1046,2244
Richmond,2016,10007,3507,6500
Rockland,2016,3433,1024,2409
Saratoga,2016,3639,958,2681
Schenectady,2016,3989,1299,2690
Schoharie,2016,549,143,406
Schuyler,2016,329,116,213
Seneca,2016,778,273,505
Steuben,2016,1942,642,1300
St. Lawrence,2016,2260,620,1640
Suffolk,2016,19969,4841,15128
Sullivan,2016,1769,497,1272
Tioga,2016,679,193,486
Tompkins,2016,1479,372,1107
Ulster,2016,4111,1075,3036
Unknown-NonNYS,2016,106,80,26
Warren,2016,1719,442,1277
Washington,2016,1165,275,890
Wayne,2016,1471,396,1075
Westchester,2016,13035,4091,8944
Wyoming,2016,637,254,383
Yates,2016,324,101,223
Albany,2015,7414,2590,4824
Allegany,2015,792,209,583
Bronx,2015,59577,16122,43455
Broome,2015,4968,1532,3436
Cattaraugus,2015,1516,439,1077
Cayuga,2015,1327,431,896
Chautauqua,2015,3262,889,2373
Chemung,2015,1904,482,1422
Chenango,2015,778,245,533
Clinton,2015,1942,516,1426
Columbia,2015,1082,264,818
Cortland,2015,1342,375,967
Delaware,2015,893,221,672
Dutchess,2015,4684,1411,3273
Erie,2015,21819,6368,15451
Essex,2015,615,182,433
Franklin,2015,1121,323,798
Fulton,2015,1185,376,809
Genesee,2015,1395,401,994
Greene,2015,1275,350,925
Hamilton,2015,63,13,50
Herkimer,2015,1179,303,876
Jefferson,2015,2465,616,1849
Kings,2015,68196,23877,44319
Lewis,2015,316,100,216
Livingston,2015,1289,407,882
Madison,2015,1164,313,851
Monroe,2015,14510,4363,10147
Montgomery,2015,1126,321,805
Nassau,2015,15824,4944,10880
New York,2015,67723,17494,50229
Niagara,2015,4816,1417,3399
Oneida,2015,5173,1217,3956
Onondaga,2015,10336,3436,6900
Ontario,2015,1875,581,1294
Orange,2015,8601,2343,6258
Orleans,2015,706,242,464
Oswego,2015,2722,821,1901
Otsego,2015,1158,320,838
Putnam,2015,1142,271,871
Queens,2015,50816,17918,32898
Rensselaer,2015,3300,1057,2243
Richmond,2015,9167,3175,5992
Rockland,2015,3745,1151,2594
Saratoga,2015,3723,927,2796
Schenectady,2015,4108,1325,2783
Schoharie,2015,529,120,409
Schuyler,2015,322,98,224
Seneca,2015,712,223,489
Steuben,2015,2126,641,1485
St. Lawrence,2015,2216,646,1570
Suffolk,2015,21686,5135,16551
Sullivan,2015,1868,507,1361
Tioga,2015,645,183,462
Tompkins,2015,1589,374,1215
Ulster,2015,4220,1031,3189
Unknown-NonNYS,2015,105,78,27
Warren,2015,1662,465,1197
Washington,2015,1203,334,869
Wayne,2015,1492,469,1023
Westchester,2015,13195,3986,9209
Wyoming,2015,664,221,443
Yates,2015,349,96,253
Albany,2014,7706,2617,5089
Allegany,2014,888,290,598
Bronx,2014,67363,17348,50015
Broome,2014,5255,1511,3744
Cattaraugus,2014,1750,540,1210
Cayuga,2014,1485,451,1034
Chautauqua,2014,3264,899,2365
Chemung,2014,2193,519,1674
Chenango,2014,942,253,689
Clinton,2014,1976,589,1387
Columbia,2014,1220,274,946
Cortland,2014,1469,428,1041
Delaware,2014,1000,269,731
Dutchess,2014,4953,1450,3503
Erie,2014,24311,6953,17358
Essex,2014,661,229,432
Franklin,2014,1259,383,876
Fulton,2014,1194,327,867
Genesee,2014,1201,357,844
Greene,2014,1296,397,899
Hamilton,2014,66,11,55
Herkimer,2014,1113,271,842
Jefferson,2014,2470,618,1852
Kings,2014,76938,25179,51759
Lewis,2014,351,121,230
Livingston,2014,1239,382,857
Madison,2014,1170,308,862
Monroe,2014,14910,4183,10727
Montgomery,2014,1181,307,874
Nassau,2014,15576,5083,10493
New York,2014,74879,17649,57230
Niagara,2014,4961,1451,3510
Oneida,2014,5124,1219,3905
Onondaga,2014,10570,3462,7108
Ontario,2014,1874,556,1318
Orange,2014,8534,2249,6285
Orleans,2014,643,220,423
Oswego,2014,2605,760,1845
Otsego,2014,1235,359,876
Putnam,2014,1220,324,896
Queens,2014,56537,17996,38541
Rensselaer,2014,3088,982,2106
Richmond,2014,10977,3501,7476
Rockland,2014,3795,1142,2653
Saratoga,2014,3812,926,2886
Schenectady,2014,3909,1253,2656
Schoharie,2014,431,93,338
Schuyler,2014,341,90,251
Seneca,2014,804,229,575
Steuben,2014,1787,501,1286
St. Lawrence,2014,2133,564,1569
Suffolk,2014,22369,5335,17034
Sullivan,2014,2097,585,1512
Tioga,2014,666,189,477
Tompkins,2014,1637,387,1250
Ulster,2014,4487,1333,3154
Unknown-NonNYS,2014,106,70,36
Warren,2014,1638,432,1206
Washington,2014,1210,332,878
Wayne,2014,1573,453,1120
Westchester,2014,14393,4465,9928
Wyoming,2014,709,242,467
Yates,2014,372,94,278
Albany,2013,8258,2504,5754
Allegany,2013,932,238,694
Bronx,2013,68251,17281,50970
Broome,2013,5478,1593,3885
Cattaraugus,2013,1881,432,1449
Cayuga,2013,1562,505,1057
Chautauqua,2013,3325,835,2490
Chemung,2013,2423,528,1895
Chenango,2013,973,240,733
Clinton,2013,1999,629,1370
Columbia,2013,1246,299,947
Cortland,2013,1353,355,998
Delaware,2013,1000,256,744
Dutchess,2013,5102,1445,3657
Erie,2013,26142,7250,18892
Essex,2013,681,204,477
Franklin,2013,1257,383,874
Fulton,2013,1190,347,843
Genesee,2013,1391,402,989
Greene,2013,1227,386,841
Hamilton,2013,74,21,53
Herkimer,2013,1220,333,887
Jefferson,2013,2619,698,1921
Kings,2013,80324,25634,54690
Lewis,2013,380,106,274
Livingston,2013,1161,318,843
Madison,2013,1092,263,829
Monroe,2013,16187,4422,11765
Montgomery,2013,1216,391,825
Nassau,2013,16360,5471,10889
New York,2013,77346,18356,58990
Niagara,2013,5379,1656,3723
Oneida,2013,5068,1194,3874
Onondaga,2013,10952,3503,7449
Ontario,2013,2076,638,1438
Orange,2013,8241,2129,6112
Orleans,2013,790,267,523
Oswego,2013,2817,879,1938
Otsego,2013,1305,398,907
Putnam,2013,1453,324,1129
Queens,2013,56295,18284,38011
Rensselaer,2013,3242,1047,2195
Richmond,2013,10373,3363,7010
Rockland,2013,3811,1176,2635
Saratoga,2013,3790,975,2815
Schenectady,2013,4280,1225,3055
Schoharie,2013,673,169,504
Schuyler,2013,372,112,260
Seneca,2013,744,242,502
Steuben,2013,1901,630,1271
St. Lawrence,2013,2355,679,1676
Suffolk,2013,22996,5433,17563
Sullivan,2013,2109,651,1458
Tioga,2013,770,211,559
Tompkins,2013,1558,359,1199
Ulster,2013,4487,1217,3270
Unknown-NonNYS,2013,122,95,27
Warren,2013,1776,426,1350
Washington,2013,1169,328,841
Wayne,2013,1633,491,1142
Westchester,2013,15675,4640,11035
Wyoming,2013,777,233,544
Yates,2013,422,110,312
Albany,2012,8336,2630,5706
Allegany,2012,1104,339,765
Bronx,2012,71058,17326,53732
Broome,2012,5245,1595,3650
Cattaraugus,2012,1859,501,1358
Cayuga,2012,1653,525,1128
Chautauqua,2012,3378,892,2486
Chemung,2012,2575,561,2014
Chenango,2012,1107,248,859
Clinton,2012,2035,642,1393
Columbia,2012,1160,321,839
Cortland,2012,1438,383,1055
Delaware,2012,998,257,741
Dutchess,2012,5405,1517,3888
Erie,2012,25632,7581,18051
Essex,2012,665,199,466
Franklin,2012,1368,395,973
Fulton,2012,1172,345,827
Genesee,2012,1350,372,978
Greene,2012,1278,383,895
Hamilton,2012,96,31,65
Herkimer,2012,1275,332,943
Jefferson,2012,2790,705,2085
Kings,2012,83797,25060,58737
Lewis,2012,372,96,276
Livingston,2012,1130,305,825
Madison,2012,1272,258,1014
Monroe,2012,17164,4665,12499
Montgomery,2012,1140,336,804
Nassau,2012,16889,5556,11333
New York,2012,79178,18127,61051
Niagara,2012,5248,1518,3730
Oneida,2012,5637,1323,4314
Onondaga,2012,11184,3817,7367
Ontario,2012,2018,602,1416
Orange,2012,8146,2098,6048
Orleans,2012,827,262,565
Oswego,2012,2978,928,2050
Otsego,2012,1568,418,1150
Putnam,2012,1470,373,1097
Queens,2012,52279,16635,35644
Rensselaer,2012,3529,1197,2332
Richmond,2012,10540,3216,7324
Rockland,2012,3890,1246,2644
Saratoga,2012,3511,917,2594
Schenectady,2012,4320,1319,3001
Schoharie,2012,587,174,413
Schuyler,2012,376,72,304
Seneca,2012,755,237,518
Steuben,2012,1834,628,1206
St. Lawrence,2012,2571,710,1861
Suffolk,2012,25002,5731,19271
Sullivan,2012,2245,665,1580
Tioga,2012,679,172,507
Tompkins,2012,1675,366,1309
Ulster,2012,4623,1198,3425
Unknown-NonNYS,2012,109,82,27
Warren,2012,1926,496,1430
Washington,2012,1220,349,871
Wayne,2012,1592,471,1121
Westchester,2012,15969,4773,11196
Wyoming,2012,800,270,530
Yates,2012,428,118,310
Albany,2011,8081,2585,5496
Allegany,2011,1078,284,794
Bronx,2011,76444,18194,58250
Broome,2011,5333,1484,3849
Cattaraugus,2011,1946,529,1417
Cayuga,2011,1482,458,1024
Chautauqua,2011,3505,854,2651
Chemung,2011,2136,491,1645
Chenango,2011,1055,304,751
Clinton,2011,2019,586,1433
Columbia,2011,1317,382,935
Cortland,2011,1467,391,1076
Delaware,2011,918,227,691
