Albany,2019,416,98,673,586
Allegany,2019,33,15,60,159
Bronx,2019,2798,117,4105,756
Broome,2019,291,60,657,360
Cattaraugus,2019,130,55,162,282
Cayuga,2019,66,25,62,135
Chautauqua,2019,206,58,464,419
Chemung,2019,102,55,358,207
Chenango,2019,38,17,83,81
Clinton,2019,111,56,116,273
Columbia,2019,85,34,329,206
Cortland,2019,33,33,125,179
Delaware,2019,43,26,85,125
Dutchess,2019,215,154,597,900
Erie,2019,1282,330,2806,1803
Essex,2019,21,25,67,164
Franklin,2019,96,23,110,130
Fulton,2019,62,29,133,154
Genesee,2019,43,40,95,198
Greene,2019,79,48,208,317
Hamilton,2019,0,1,1,18
Herkimer,2019,17,41,76,188
Jefferson,2019,84,43,115,290
Kings,2019,2921,196,2925,1118
Lewis,2019,35,16,26,84
Livingston,2019,88,51,112,165
Madison,2019,34,35,98,147
Monroe,2019,576,412,528,1590
Montgomery,2019,75,26,123,133
Nassau,2019,811,269,4061,1762
New York,2019,1783,69,4471,954
Niagara,2019,188,81,431,515
Oneida,2019,155,78,442,375
Onondaga,2019,414,169,833,1046
Ontario,2019,150,76,289,299
Orange,2019,480,211,1124,1207
Orleans,2019,51,23,72,95
Oswego,2019,64,42,230,276
Otsego,2019,37,37,89,153
Putnam,2019,50,53,212,381
Queens,2019,1532,228,1581,1270
Rensselaer,2019,193,69,298,350
Richmond,2019,424,77,574,554
Rockland,2019,144,76,319,482
Saratoga,2019,143,106,410,651
Schenectady,2019,243,56,201,277
Schoharie,2019,11,20,18,52
Schuyler,2019,8,11,28,55
Seneca,2019,36,32,41,68
Steuben,2019,219,69,233,280
St. Lawrence,2019,149,44,192,301
Suffolk,2019,817,419,3457,2472
Sullivan,2019,91,53,337,243
Tioga,2019,44,19,91,81
Tompkins,2019,30,30,91,144
Ulster,2019,155,114,396,674
Unknown-NonNYS,2019,11,0,1,1
Warren,2019,79,47,189,233
Washington,2019,50,33,180,145
Wayne,2019,49,41,55,178
Westchester,2019,715,214,1561,1732
Wyoming,2019,27,64,75,207
Yates,2019,6,6,28,58
Albany,2018,517,137,825,810
Allegany,2018,45,33,52,120
Bronx,2018,3074,141,5939,954
Broome,2018,267,71,776,424
Cattaraugus,2018,174,58,149,268
Cayuga,2018,39,25,82,166
Chautauqua,2018,156,74,485,416
Chemung,2018,121,49,296,229
Chenango,2018,62,25,77,122
Clinton,2018,132,57,145,319
Columbia,2018,83,36,288,196
Cortland,2018,60,19,182,154
Delaware,2018,59,23,96,112
Dutchess,2018,219,126,610,864
Erie,2018,1226,328,3063,1743
Essex,2018,24,28,95,165
Franklin,2018,108,23,93,162
Fulton,2018,73,32,124,167
Genesee,2018,28,56,88,241
Greene,2018,120,64,232,305
Hamilton,2018,3,1,5,5
Herkimer,2018,19,34,105,199
Jefferson,2018,140,55,122,343
Kings,2018,3288,212,6618,1280
