Year,County Name,Population
2003,New York State,19190115
2003,New York State,11696047
2003,New York State,3024588
2003,New York State,1337294
2003,New York State,3132186
2003,New York State,9276425
2003,New York State,5669982
2003,New York State,1394507
2003,New York State,663184
2003,New York State,1548752
2003,New York State,9913690
2003,New York State,6026065
2003,New York State,1630081
2003,New York State,674110
2003,New York State,1583434
2003,New York State,250062
2003,New York State,125974
2003,New York State,48955
2003,New York State,17987
2003,New York State,57146
2003,New York State,127718
2003,New York State,64389
2003,New York State,24978
2003,New York State,9296
2003,New York State,29055
2003,New York State,122344
2003,New York State,61585
2003,New York State,23977
2003,New York State,8691
2003,New York State,28091
2003,New York State,2189837
2003,New York State,1153341
2003,New York State,410659
2003,New York State,152129
2003,New York State,473708
2003,New York State,1119042
2003,New York State,591373
2003,New York State,208421
2003,New York State,77393
2003,New York State,241855
2003,New York State,1070795
2003,New York State,561968
2003,New York State,202238
2003,New York State,74736
2003,New York State,231853
2003,New York State,2606471
2003,New York State,1454564
2003,New York State,492563
2003,New York State,166884
2003,New York State,492460
2003,New York State,1335186
2003,New York State,747400
2003,New York State,249086
2003,New York State,86543
2003,New York State,252157
2003,New York State,1271285
2003,New York State,707164
2003,New York State,243477
2003,New York State,80341
2003,New York State,240303
2003,New York State,1313322
2003,New York State,701205
2003,New York State,232281
2003,New York State,98624
2003,New York State,281212
2003,New York State,671255
2003,New York State,357671
2003,New York State,113806
2003,New York State,50265
2003,New York State,149513
2003,New York State,642067
2003,New York State,343534
2003,New York State,118475
2003,New York State,48359
2003,New York State,131699
2003,New York State,2670831
2003,New York State,1426100
2003,New York State,429260
2003,New York State,253015
2003,New York State,562456
2003,New York State,1319860
2003,New York State,708137
2003,New York State,198001
2003,New York State,122531
2003,New York State,291191
2003,New York State,1350971
2003,New York State,717963
2003,New York State,231259
2003,New York State,130484
2003,New York State,271265
2003,New York State,3038513
2003,New York State,1810600
2003,New York State,482283
2003,New York State,242089
2003,New York State,503541
2003,New York State,1494434
2003,New York State,903902
2003,New York State,219338
2003,New York State,121200
2003,New York State,249994
2003,New York State,1544079
2003,New York State,906698
2003,New York State,262945
2003,New York State,120889
2003,New York State,253547
2003,New York State,2715954
2003,New York State,1789783
2003,New York State,385532
2003,New York State,193269
2003,New York State,347370
2003,New York State,1312293
2003,New York State,882143
2003,New York State,171129
2003,New York State,101309
2003,New York State,96477
2003,New York State,162544
2003,New York State,1403661
2003,New York State,907640
2003,New York State,214403
2003,New York State,96792
2003,New York State,184826
2003,New York State,1916166
2003,New York State,1328145
2003,New York State,263265
2003,New York State,110590
2003,New York State,214166
2003,New York State,894795
2003,New York State,636171
2003,New York State,109090
2003,New York State,53563
2003,New York State,95971
2003,New York State,1021371
2003,New York State,691974
2003,New York State,154175
2003,New York State,57027
2003,New York State,118195
2003,New York State,1249837
2003,New York State,905016
2003,New York State,159462
2003,New York State,63669
2003,New York State,121690
2003,New York State,552239
2003,New York State,409928
2003,New York State,62434
2003,New York State,29876
2003,New York State,50001
2003,New York State,697598
2003,New York State,495088
2003,New York State,97028
2003,New York State,33793
2003,New York State,71689
2003,New York State,895796
2003,New York State,716408
2003,New York State,89870
2003,New York State,29910
2003,New York State,59608
2003,New York State,348294
2003,New York State,284175
2003,New York State,30337
2003,New York State,12721
2003,New York State,21061
2003,New York State,547502
2003,New York State,432233
2003,New York State,59533
2003,New York State,17189
2003,New York State,38547
2003,New York State,343326
2003,New York State,284911
2003,New York State,30458
2003,New York State,9128
2003,New York State,18829
2003,New York State,84693
2003,New York State,7887
2003,New York State,3319
2003,New York State,5410
2003,New York State,242017
2003,New York State,200218
2003,New York State,22571
2003,New York State,5809
2003,New York State,13419
2003,New York City,8085742
2003,New York City,2796290
2003,New York City,2050128
2003,New York City,959316
2003,New York City,2280008
2003,New York City,3843576
2003,New York City,1344169
2003,New York City,918370
2003,New York City,476658
2003,New York City,1104379
2003,New York City,4242166
2003,New York City,1452121
2003,New York City,1131758
2003,New York City,482658
2003,New York City,1175629
2003,New York City,121436
2003,New York City,31414
2003,New York City,33921
2003,New York City,13516
2003,New York City,42585
2003,New York City,62039
2003,New York City,16137
2003,New York City,17169
2003,New York City,7013
2003,New York City,21720
2003,New York City,59397
2003,New York City,15277
2003,New York City,16752
2003,New York City,6503
2003,New York City,20865
2003,New York City,961172
2003,New York City,244485
2003,New York City,271214
2003,New York City,106109
2003,New York City,339364
2003,New York City,491207
2003,New York City,126124
2003,New York City,137532
2003,New York City,54343
2003,New York City,173208
2003,New York City,469965
2003,New York City,118361
2003,New York City,133682
2003,New York City,51766
2003,New York City,166156
2003,New York City,1028575
2003,New York City,250264
2003,New York City,316441
2003,New York City,109664
2003,New York City,352206
2003,New York City,523997
2003,New York City,128713
2003,New York City,158726
2003,New York City,57184
2003,New York City,179374
2003,New York City,504578
2003,New York City,121551
2003,New York City,157715
2003,New York City,52480
2003,New York City,172832
2003,New York City,557085
2003,New York City,141969
2003,New York City,151757
2003,New York City,65598
2003,New York City,197761
2003,New York City,278704
2003,New York City,70900
2003,New York City,71891
2003,New York City,33151
2003,New York City,102762
2003,New York City,278381
2003,New York City,71069
2003,New York City,79866
2003,New York City,32447
2003,New York City,94999
2003,New York City,1330614
2003,New York City,455442
2003,New York City,291135
2003,New York City,185583
2003,New York City,398454
2003,New York City,642211
2003,New York City,225045
2003,New York City,128112
2003,New York City,88975
2003,New York City,200079
2003,New York City,688403
2003,New York City,230397
2003,New York City,163023
2003,New York City,96608
2003,New York City,198375
2003,New York City,1294446
2003,New York City,429562
2003,New York City,326327
2003,New York City,178820
2003,New York City,359737
2003,New York City,631282
2003,New York City,223594
2003,New York City,142933
2003,New York City,90724
2003,New York City,174031
2003,New York City,663164
2003,New York City,205968
2003,New York City,183394
2003,New York City,88096
2003,New York City,185706
2003,New York City,1069499
2003,New York City,399558
2003,New York City,267773
2003,New York City,141989
2003,New York City,260179
2003,New York City,502224
2003,New York City,196346
2003,New York City,115491
2003,New York City,71771
2003,New York City,118616
2003,New York City,567275
2003,Seneca,658
2003,New York City,203212
2003,New York City,152282
2003,New York City,70218
2003,New York City,141563
2003,New York City,754885
2003,New York City,320693
2003,New York City,187028
2003,New York City,79272
2003,New York City,167892
2003,New York City,337087
2003,New York City,149595
2003,New York City,75314
2003,New York City,38320
2003,New York City,73858
2003,New York City,417798
2003,New York City,171098
2003,New York City,111714
2003,New York City,40952
2003,New York City,94034
2003,New York City,495977
2003,New York City,234714
2003,New York City,114618
2003,New York City,48440
2003,New York City,98205
2003,New York City,210031
2003,New York City,104228
2003,New York City,43515
2003,New York City,22627
2003,New York City,39661
2003,New York City,285946
2003,New York City,130486
2003,New York City,71103
2003,New York City,25813
2003,New York City,58544
2003,New York City,336342
2003,New York City,197623
2003,New York City,66837
2003,New York City,23291
2003,New York City,48591
2003,New York City,124973
2003,New York City,76338
2003,New York City,21828
2003,New York City,9989
2003,New York City,16818
2003,New York City,211369
2003,New York City,121285
2003,New York City,45009
2003,New York City,13302
2003,New York City,31773
2003,New York City,135711
2003,New York City,90566
2003,New York City,23077
2003,New York City,7034
2003,New York City,15034
2003,New York City,39821
2003,New York City,27149
2003,New York City,5859
2003,New York City,2561
2003,New York City,4252
2003,New York City,95890
2003,New York City,63417
2003,New York City,17218
2003,New York City,4473
2003,New York City,10782
2003,Bronx,1363198
2003,Bronx,179554
2003,Bronx,434154
2003,Bronx,50183
2003,Bronx,699307
2003,Bronx,637719
2003,Bronx,84949
2003,Bronx,197508
2003,Bronx,24791
2003,Bronx,330471
2003,Bronx,725479
2003,Bronx,94605
2003,Bronx,236646
2003,Bronx,25392
2003,Bronx,368836
2003,Bronx,24752
2003,Bronx,1802
2003,Bronx,8325
2003,Bronx,661
2003,Bronx,13964
2003,Bronx,12484
2003,Bronx,932
2003,Bronx,4208
2003,Bronx,337
2003,Bronx,7007
2003,Bronx,12268
2003,Bronx,870
2003,Bronx,4117
2003,Bronx,324
2003,Bronx,6957
2003,Bronx,198637
2003,Bronx,14385
2003,Bronx,62606
2003,Bronx,6435
2003,Bronx,115211
2003,Bronx,101051
2003,Bronx,7462
2003,Bronx,31721
2003,Bronx,3257
2003,Bronx,58611
2003,Bronx,97586
2003,Bronx,6923
2003,Bronx,30885
2003,Bronx,3178
2003,Bronx,56600
2003,Bronx,213052
2003,Bronx,16728
2003,Bronx,68931
2003,Bronx,6730
2003,Bronx,120663
2003,Bronx,108928
2003,Bronx,8813
2003,Bronx,35170
2003,Bronx,3485
2003,Bronx,61460
2003,Bronx,104124
2003,Bronx,7915
2003,Bronx,33761
2003,Bronx,3245
2003,Bronx,59203
2003,Bronx,105269
2003,Bronx,10055
2003,Bronx,31794
2003,Bronx,3616
2003,Bronx,59804
2003,Bronx,51717
2003,Bronx,5257
2003,Bronx,15341
2003,Bronx,1818
2003,Bronx,29301
2003,Bronx,53552
2003,Bronx,4798
2003,Bronx,16453
2003,Bronx,1798
2003,Bronx,30503
2003,Bronx,206283
2003,Bronx,20751
2003,Bronx,62925
2003,Bronx,8844
2003,Bronx,113763
2003,Bronx,96319
2003,Bronx,10662
2003,Bronx,28056
2003,Bronx,4264
2003,Bronx,53337
2003,Bronx,109964
2003,Bronx,10089
2003,Bronx,34869
